,home_team.id,home_team.name,home_team.logo,home_team_Shots on Goal,home_team_Shots off Goal,home_team_Total Shots,home_team_Blocked Shots,home_team_Shots insidebox,home_team_Shots outsidebox,home_team_Fouls,home_team_Corner Kicks,home_team_Offsides,home_team_Ball Possession,home_team_Yellow Cards,home_team_Red Cards,home_team_Goalkeeper Saves,home_team_Total passes,home_team_Passes accurate,home_team_Passes %,away_team.id,away_team.name,away_team.logo,away_team_Shots on Goal,away_team_Shots off Goal,away_team_Total Shots,away_team_Blocked Shots,away_team_Shots insidebox,away_team_Shots outsidebox,away_team_Fouls,away_team_Corner Kicks,away_team_Offsides,away_team_Ball Possession,away_team_Yellow Cards,away_team_Red Cards,away_team_Goalkeeper Saves,away_team_Total passes,away_team_Passes accurate,away_team_Passes %
15,2.0,France,https://media.api-sports.io/football/teams/2.png,6.0,0.0,7.0,1.0,2.0,5.0,13.0,2.0,1.0,34%,2.0,0.0,2.0,289.0,198.0,69%,3.0,Croatia,https://media.api-sports.io/football/teams/3.png,4.0,9.0,14.0,1.0,9.0,5.0,13.0,6.0,1.0,66%,1.0,0.0,3.0,528.0,440.0,83%
16,4.0,Russia,https://media.api-sports.io/football/teams/4.png,7.0,3.0,14.0,4.0,11.0,3.0,22.0,6.0,3.0,38%,1.0,0.0,0.0,345.0,251.0,73%,23.0,Saudi Arabia,https://media.api-sports.io/football/teams/23.png,0.0,3.0,6.0,3.0,4.0,2.0,10.0,2.0,1.0,62%,1.0,0.0,2.0,557.0,451.0,81%
17,32.0,Egypt,https://media.api-sports.io/football/teams/32.png,3.0,3.0,8.0,2.0,4.0,4.0,12.0,0.0,1.0,41%,2.0,0.0,4.0,424.0,313.0,74%,7.0,Uruguay,https://media.api-sports.io/football/teams/7.png,5.0,6.0,15.0,4.0,8.0,7.0,6.0,5.0,1.0,59%,0.0,0.0,3.0,588.0,503.0,86%
18,31.0,Morocco,https://media.api-sports.io/football/teams/31.png,3.0,6.0,13.0,4.0,9.0,4.0,22.0,5.0,0.0,67%,1.0,0.0,2.0,461.0,374.0,81%,22.0,Iran,https://media.api-sports.io/football/teams/22.png,2.0,6.0,9.0,1.0,6.0,4.0,14.0,2.0,0.0,33%,3.0,0.0,3.0,218.0,127.0,58%
19,27.0,Portugal,https://media.api-sports.io/football/teams/27.png,3.0,3.0,9.0,3.0,3.0,6.0,12.0,4.0,1.0,33%,1.0,0.0,3.0,372.0,307.0,83%,9.0,Spain,https://media.api-sports.io/football/teams/9.png,6.0,5.0,13.0,2.0,9.0,4.0,10.0,5.0,3.0,67%,1.0,0.0,0.0,759.0,700.0,92%
20,2.0,France,https://media.api-sports.io/football/teams/2.png,5.0,5.0,12.0,2.0,7.0,6.0,16.0,5.0,0.0,55%,1.0,0.0,1.0,508.0,426.0,84%,20.0,Australia,https://media.api-sports.io/football/teams/20.png,1.0,3.0,6.0,2.0,4.0,2.0,19.0,1.0,0.0,45%,3.0,0.0,4.0,407.0,321.0,79%
21,26.0,Argentina,https://media.api-sports.io/football/teams/26.png,7.0,10.0,27.0,10.0,12.0,15.0,10.0,10.0,0.0,77%,0.0,0.0,1.0,752.0,673.0,89%,18.0,Iceland,https://media.api-sports.io/football/teams/18.png,2.0,5.0,8.0,1.0,5.0,3.0,15.0,2.0,0.0,23%,0.0,0.0,6.0,209.0,132.0,63%
22,30.0,Peru,https://media.api-sports.io/football/teams/30.png,6.0,9.0,17.0,2.0,13.0,4.0,10.0,3.0,5.0,53%,1.0,0.0,2.0,418.0,341.0,82%,21.0,Denmark,https://media.api-sports.io/football/teams/21.png,3.0,5.0,10.0,2.0,4.0,6.0,18.0,7.0,3.0,47%,2.0,0.0,6.0,364.0,289.0,79%
23,3.0,Croatia,https://media.api-sports.io/football/teams/3.png,2.0,7.0,11.0,2.0,8.0,4.0,20.0,6.0,2.0,54%,2.0,0.0,2.0,483.0,383.0,79%,19.0,Nigeria,https://media.api-sports.io/football/teams/19.png,2.0,7.0,14.0,5.0,10.0,4.0,16.0,5.0,1.0,46%,1.0,0.0,1.0,399.0,309.0,77%
24,29.0,Costa Rica,https://media.api-sports.io/football/teams/29.png,3.0,3.0,10.0,4.0,5.0,5.0,18.0,5.0,1.0,52%,2.0,0.0,2.0,449.0,359.0,80%,14.0,Serbia,https://media.api-sports.io/football/teams/14.png,3.0,6.0,10.0,1.0,5.0,5.0,15.0,4.0,3.0,48%,2.0,0.0,3.0,418.0,326.0,78%
25,25.0,Germany,https://media.api-sports.io/football/teams/25.png,9.0,8.0,26.0,9.0,12.0,14.0,10.0,8.0,1.0,66%,2.0,0.0,3.0,596.0,518.0,87%,16.0,Mexico,https://media.api-sports.io/football/teams/16.png,4.0,7.0,13.0,2.0,5.0,8.0,16.0,1.0,1.0,34%,2.0,0.0,9.0,304.0,232.0,76%
26,6.0,Brazil,https://media.api-sports.io/football/teams/6.png,5.0,10.0,21.0,6.0,12.0,9.0,11.0,7.0,1.0,54%,1.0,0.0,1.0,544.0,478.0,88%,15.0,Switzerland,https://media.api-sports.io/football/teams/15.png,2.0,4.0,6.0,0.0,3.0,3.0,19.0,2.0,0.0,46%,3.0,0.0,3.0,453.0,362.0,80%
27,5.0,Sweden,https://media.api-sports.io/football/teams/5.png,4.0,5.0,15.0,6.0,9.0,6.0,20.0,6.0,1.0,55%,1.0,0.0,0.0,447.0,362.0,81%,17.0,South Korea,https://media.api-sports.io/football/teams/17.png,0.0,2.0,5.0,3.0,3.0,2.0,23.0,5.0,0.0,45%,2.0,0.0,3.0,359.0,281.0,78%
28,1.0,Belgium,https://media.api-sports.io/football/teams/1.png,6.0,7.0,15.0,2.0,10.0,5.0,17.0,9.0,1.0,61%,3.0,0.0,2.0,568.0,485.0,85%,11.0,Panama,https://media.api-sports.io/football/teams/11.png,2.0,4.0,7.0,1.0,3.0,4.0,18.0,3.0,2.0,39%,5.0,0.0,3.0,354.0,283.0,80%
29,28.0,Tunisia,https://media.api-sports.io/football/teams/28.png,1.0,3.0,6.0,2.0,3.0,3.0,14.0,2.0,2.0,39%,0.0,0.0,5.0,352.0,273.0,78%,10.0,England,https://media.api-sports.io/football/teams/10.png,8.0,8.0,18.0,2.0,14.0,4.0,8.0,7.0,3.0,61%,1.0,0.0,0.0,531.0,457.0,86%
30,8.0,Colombia,https://media.api-sports.io/football/teams/8.png,3.0,1.0,8.0,4.0,5.0,3.0,15.0,3.0,2.0,38%,2.0,1.0,4.0,376.0,289.0,77%,12.0,Japan,https://media.api-sports.io/football/teams/12.png,6.0,5.0,14.0,3.0,12.0,2.0,9.0,6.0,1.0,62%,1.0,0.0,2.0,595.0,516.0,87%
31,24.0,Poland,https://media.api-sports.io/football/teams/24.png,4.0,6.0,11.0,1.0,6.0,5.0,8.0,3.0,3.0,61%,1.0,0.0,1.0,569.0,472.0,83%,13.0,Senegal,https://media.api-sports.io/football/teams/13.png,2.0,4.0,8.0,2.0,6.0,3.0,15.0,3.0,2.0,39%,2.0,0.0,3.0,360.0,279.0,78%
32,4.0,Russia,https://media.api-sports.io/football/teams/4.png,3.0,6.0,11.0,2.0,5.0,7.0,11.0,7.0,0.0,49%,1.0,0.0,0.0,422.0,304.0,72%,32.0,Egypt,https://media.api-sports.io/football/teams/32.png,1.0,8.0,13.0,4.0,7.0,6.0,10.0,4.0,0.0,51%,1.0,0.0,1.0,443.0,347.0,78%
33,27.0,Portugal,https://media.api-sports.io/football/teams/27.png,2.0,4.0,10.0,4.0,4.0,6.0,19.0,5.0,1.0,45%,1.0,0.0,4.0,396.0,284.0,72%,31.0,Morocco,https://media.api-sports.io/football/teams/31.png,4.0,9.0,15.0,2.0,11.0,4.0,23.0,7.0,1.0,55%,1.0,0.0,1.0,467.0,357.0,76%
34,7.0,Uruguay,https://media.api-sports.io/football/teams/7.png,3.0,6.0,13.0,4.0,9.0,4.0,10.0,3.0,1.0,47%,0.0,0.0,2.0,502.0,426.0,85%,23.0,Saudi Arabia,https://media.api-sports.io/football/teams/23.png,2.0,4.0,8.0,2.0,3.0,5.0,13.0,4.0,2.0,53%,0.0,0.0,2.0,550.0,478.0,87%
35,22.0,Iran,https://media.api-sports.io/football/teams/22.png,0.0,7.0,7.0,0.0,5.0,2.0,14.0,2.0,2.0,22%,2.0,0.0,2.0,216.0,139.0,64%,9.0,Spain,https://media.api-sports.io/football/teams/9.png,5.0,5.0,18.0,8.0,10.0,8.0,14.0,6.0,1.0,78%,0.0,0.0,0.0,776.0,701.0,90%
